mean,median,std,min,max,range,argmax,argmin,max_abs_diff,mean_abs_diff,sum_abs_diff,energy,number_of_local_maxima,number_of_local_minima,split,label
0.5107558,0.510809,0.00018227549,0.510504,0.511267,0.00076299906,15,2,0.00060999393,0.0002007359,0.003813982,5.21743,5,6,train,0
0.5000068,0.4996869,0.045035973,0.411322,0.586645,0.17532301,8,13,0.07232702,0.02025514,0.38484764,5.040701,2,3,train,1
0.5008899,0.50277257,0.04511691,0.411322,0.586645,0.17532301,9,14,0.07232702,0.019938048,0.37882292,5.0585246,4,3,train,1
0.499708,0.4987545,0.045101497,0.411322,0.586645,0.17532301,4,9,0.07232702,0.021430815,0.4071855,5.0348444,4,4,train,1
0.4995448,0.4993059,0.04506425,0.411322,0.586645,0.17532301,4,9,0.07232702,0.020391488,0.3874383,5.031516,3,3,train,1
0.49843472,0.49748042,0.045080535,0.411322,0.586645,0.17532301,7,12,0.07232702,0.020489821,0.3893066,5.009389,3,3,train,1
0.50028026,0.50282943,0.0451247,0.411322,0.586645,0.17532301,9,14,0.07232702,0.020117681,0.38223594,5.0463314,4,3,train,1
0.49846435,0.49722144,0.045131333,0.411322,0.586645,0.17532301,4,9,0.07232702,0.021317298,0.40502867,5.010071,3,3,train,1
0.5005058,0.50215065,0.045073483,0.411322,0.586645,0.17532301,8,13,0.07232702,0.020679135,0.39290357,5.050751,3,4,train,1
0.49940348,0.497723,0.045056112,0.411322,0.586645,0.17532301,10,15,0.07232702,0.020537334,0.39020935,5.028678,2,3,train,1
0.49987864,0.4988509,0.045045305,0.411322,0.586645,0.17532301,6,11,0.07232702,0.020277197,0.38526675,5.038155,3,3,train,1
0.5051951,0.505126,0.0008954987,0.502838,0.506805,0.003966987,12,19,0.002135992,0.00090741797,0.017240942,5.104457,7,7,train,0
0.50239533,0.502075,0.0010831447,0.500854,0.505432,0.0045779943,0,17,0.0038149953,0.0011403122,0.02166593,5.048045,6,7,train,0
0.5030361,0.503677,0.004580043,0.4859,0.513519,0.027618974,3,0,0.017089993,0.0026340468,0.05004689,5.061325,6,6,train,0
0.5073697,0.5097402,0.042852845,0.428106,0.574591,0.14648497,7,13,0.03890997,0.016135907,0.3065822,5.185209,2,3,train,1
0.50702035,0.50925815,0.042796906,0.428106,0.574591,0.14648497,6,12,0.03890997,0.015851533,0.3011791,5.1780243,3,2,train,1
0.5071382,0.5082915,0.042827975,0.428106,0.574591,0.14648497,6,12,0.03890997,0.01641485,0.31188214,5.1804686,3,2,train,1
0.50627947,0.50623834,0.04279437,0.428106,0.574591,0.14648497,7,13,0.03890997,0.016059596,0.30513233,5.1630063,3,2,train,1
0.50592744,0.5059265,0.042833522,0.428106,0.574591,0.14648497,6,12,0.03890997,0.016039386,0.30474833,5.1559477,3,2,train,1
0.5068089,0.5082915,0.042786475,0.428106,0.574591,0.14648497,6,12,0.03890997,0.015767574,0.2995839,5.173719,3,3,train,1
0.50724345,0.5082915,0.042854626,0.428106,0.574591,0.14648497,8,14,0.03890997,0.016593374,0.31527412,5.182649,3,3,train,1
0.5070863,0.5087063,0.042810954,0.428106,0.574591,0.14648497,7,13,0.03890997,0.015837591,0.30091423,5.1793876,2,3,train,1
0.5069915,0.5082915,0.04284624,0.428106,0.574591,0.14648497,8,14,0.03890997,0.016517047,0.31382388,5.1775246,2,3,train,1
0.5069577,0.5082915,0.04283173,0.428106,0.574591,0.14648497,6,12,0.03890997,0.016334383,0.31035328,5.1768136,3,3,train,1
0.49835157,0.4979545,0.004091086,0.492919,0.51123,0.018310994,5,2,0.0140379965,0.0046980036,0.08926207,4.96742,7,6,train,0
0.49544495,0.501206,0.059652008,0.403701,0.582691,0.17899,8,16,0.059360027,0.016913684,0.32136,4.980482,1,2,train,1
0.4940645,0.498841,0.059836138,0.403701,0.582691,0.17899,7,15,0.059360027,0.017636843,0.33510002,4.953602,1,1,train,1
0.49352303,0.493426,0.059866425,0.403701,0.582691,0.17899,6,14,0.059360027,0.01795737,0.34119004,4.942979,1,1,train,1
0.49302706,0.48846602,0.059836708,0.403701,0.582691,0.17899,5,13,0.059360027,0.017925791,0.34059003,4.9331217,1,1,train,1
0.49231753,0.48846602,0.059723675,0.403701,0.582691,0.17899,4,12,0.059360027,0.017612107,0.33463004,4.918869,1,1,train,1
0.5105726,0.510504,0.00022355535,0.510199,0.510962,0.00076299906,5,0,0.00060999393,0.00020873547,0.003965974,5.21369,5,6,train,0
0.5108244,0.510809,0.00012671764,0.510504,0.511114,0.00060999393,3,16,0.0004580021,0.00012852643,0.0024420023,5.2188315,5,3,train,0
